"Statistic Label","Year","Type of Vehicle","UNIT","VALUE"
"Vehicle Population","2000","Private cars","Number","1314059"
"Vehicle Population","2000","Goods vehicles","Number","199259"
"Vehicle Population","2000","Motor cycles","Number","28489"
"Vehicle Population","2000","Tractors & Machinery","Number","74211"
"Vehicle Population","2000","Small PSVs","Number","13983"
"Vehicle Population","2000","Large PSVs","Number","6726"
"Vehicle Population","2000","Exempt vehicles","Number","12448"
"Vehicle Population","2000","Other vehicles","Number","17569"
"Vehicle Population","2001","Private cars","Number","1372672"
"Vehicle Population","2001","Goods vehicles","Number","214767"
"Vehicle Population","2001","Motor cycles","Number","31589"
"Vehicle Population","2001","Tractors & Machinery","Number","73281"
"Vehicle Population","2001","Small PSVs","Number","15799"
"Vehicle Population","2001","Large PSVs","Number","6985"
"Vehicle Population","2001","Exempt vehicles","Number","13744"
"Vehicle Population","2001","Other vehicles","Number","19762"
"Vehicle Population","2002","Private cars","Number","1437985"
"Vehicle Population","2002","Goods vehicles","Number","228658"
"Vehicle Population","2002","Motor cycles","Number","32835"
"Vehicle Population","2002","Tractors & Machinery","Number","73356"
"Vehicle Population","2002","Small PSVs","Number","18215"
"Vehicle Population","2002","Large PSVs","Number","7050"
"Vehicle Population","2002","Exempt vehicles","Number","14851"
"Vehicle Population","2002","Other vehicles","Number","20754"
"Vehicle Population","2003","Private cars","Number","1500123"
"Vehicle Population","2003","Goods vehicles","Number","244634"
"Vehicle Population","2003","Motor cycles","Number","33920"
"Vehicle Population","2003","Tractors & Machinery","Number","74700"
"Vehicle Population","2003","Small PSVs","Number","19947"
"Vehicle Population","2003","Large PSVs","Number","7203"
"Vehicle Population","2003","Exempt vehicles","Number","15909"
"Vehicle Population","2003","Other vehicles","Number","22285"
"Vehicle Population","2004","Private cars","Number","1568619"
"Vehicle Population","2004","Goods vehicles","Number","262323"
"Vehicle Population","2004","Motor cycles","Number","34768"
"Vehicle Population","2004","Tractors & Machinery","Number","76061"
"Vehicle Population","2004","Small PSVs","Number","21251"
"Vehicle Population","2004","Large PSVs","Number","7373"
"Vehicle Population","2004","Exempt vehicles","Number","17177"
"Vehicle Population","2004","Other vehicles","Number","25541"
"Vehicle Population","2005","Private cars","Number","1647331"
"Vehicle Population","2005","Goods vehicles","Number","280217"
"Vehicle Population","2005","Motor cycles","Number","34373"
"Vehicle Population","2005","Tractors & Machinery","Number","76002"
"Vehicle Population","2005","Small PSVs","Number","22315"
"Vehicle Population","2005","Large PSVs","Number","7489"
"Vehicle Population","2005","Exempt vehicles","Number","18672"
"Vehicle Population","2005","Other vehicles","Number","28751"
"Vehicle Population","2006","Private cars","Number","1746845"
"Vehicle Population","2006","Goods vehicles","Number","305743"
"Vehicle Population","2006","Motor cycles","Number","34410"
"Vehicle Population","2006","Tractors & Machinery","Number","76908"
"Vehicle Population","2006","Small PSVs","Number","23644"
"Vehicle Population","2006","Large PSVs","Number","7771"
"Vehicle Population","2006","Exempt vehicles","Number","20231"
"Vehicle Population","2006","Other vehicles","Number","31436"
"Vehicle Population","2007","Private cars","Number","1858906"
"Vehicle Population","2007","Goods vehicles","Number","335716"
"Vehicle Population","2007","Motor cycles","Number","35841"
"Vehicle Population","2007","Tractors & Machinery","Number","78861"
"Vehicle Population","2007","Small PSVs","Number","26139"
"Vehicle Population","2007","Large PSVs","Number","8181"
"Vehicle Population","2007","Exempt vehicles","Number","22348"
"Vehicle Population","2007","Other vehicles","Number","34483"
"Vehicle Population","2008","Private cars","Number","1932729"
"Vehicle Population","2008","Goods vehicles","Number","352239"
"Vehicle Population","2008","Motor cycles","Number","38068"
"Vehicle Population","2008","Tractors & Machinery","Number","79404"
"Vehicle Population","2008","Small PSVs","Number","29159"
"Vehicle Population","2008","Large PSVs","Number","8636"
"Vehicle Population","2008","Exempt vehicles","Number","24409"
"Vehicle Population","2008","Other vehicles","Number","37784"
"Vehicle Population","2009","Private cars","Number","1914924"
"Vehicle Population","2009","Goods vehicles","Number","344671"
"Vehicle Population","2009","Motor cycles","Number","38741"
"Vehicle Population","2009","Tractors & Machinery","Number","76007"
"Vehicle Population","2009","Small PSVs","Number","28959"
"Vehicle Population","2009","Large PSVs","Number","8679"
"Vehicle Population","2009","Exempt vehicles","Number","25644"
"Vehicle Population","2009","Other vehicles","Number","41404"
"Vehicle Population","2010","Private cars","Number","1890110"
"Vehicle Population","2010","Goods vehicles","Number","331779"
"Vehicle Population","2010","Motor cycles","Number","38043"
"Vehicle Population","2010","Tractors & Machinery","Number","72014"
"Vehicle Population","2010","Small PSVs","Number","27578"
"Vehicle Population","2010","Large PSVs","Number","8373"
"Vehicle Population","2010","Exempt vehicles","Number","25587"
"Vehicle Population","2010","Other vehicles","Number","44215"
"Vehicle Population","2011","Private cars","Number","1886421"
"Vehicle Population","2011","Goods vehicles","Number","319530"
"Vehicle Population","2011","Motor cycles","Number","36531"
"Vehicle Population","2011","Tractors & Machinery","Number","70463"
"Vehicle Population","2011","Small PSVs","Number","26042"
"Vehicle Population","2011","Large PSVs","Number","8203"
"Vehicle Population","2011","Exempt vehicles","Number","26173"
"Vehicle Population","2011","Other vehicles","Number","46160"
"Vehicle Population","2012","Private cars","Number","1896184"
"Vehicle Population","2012","Goods vehicles","Number","312866"
"Vehicle Population","2012","Motor cycles","Number","35438"
"Vehicle Population","2012","Tractors & Machinery","Number","70288"
"Vehicle Population","2012","Small PSVs","Number","24779"
"Vehicle Population","2012","Large PSVs","Number","8241"
"Vehicle Population","2012","Exempt vehicles","Number","26095"
"Vehicle Population","2012","Other vehicles","Number","47906"
"Vehicle Population","2013","Private cars","Number","1913939"
"Vehicle Population","2013","Goods vehicles","Number","312578"
"Vehicle Population","2013","Motor cycles","Number","35670"
"Vehicle Population","2013","Tractors & Machinery","Number","85801"
"Vehicle Population","2013","Small PSVs","Number","23605"
"Vehicle Population","2013","Large PSVs","Number","8307"
"Vehicle Population","2013","Exempt vehicles","Number","26164"
"Vehicle Population","2013","Other vehicles","Number","57633"
"Vehicle Population","2014","Private cars","Number","1950080"
"Vehicle Population","2014","Goods vehicles","Number","316687"
"Vehicle Population","2014","Motor cycles","Number","36429"
"Vehicle Population","2014","Tractors & Machinery","Number","95593"
"Vehicle Population","2014","Small PSVs","Number","22890"
"Vehicle Population","2014","Large PSVs","Number","8637"
"Vehicle Population","2014","Exempt vehicles","Number","26211"
"Vehicle Population","2014","Other vehicles","Number","64906"
"Vehicle Population","2015","Private cars","Number","1992819"
"Vehicle Population","2015","Goods vehicles","Number","326277"
"Vehicle Population","2015","Motor cycles","Number","36755"
"Vehicle Population","2015","Tractors & Machinery","Number","92367"
"Vehicle Population","2015","Small PSVs","Number","22428"
"Vehicle Population","2015","Large PSVs","Number","9019"
"Vehicle Population","2015","Exempt vehicles","Number","27019"
"Vehicle Population","2015","Other vehicles","Number","67278"
"Vehicle Population","2016","Private cars","Number","2038268"
"Vehicle Population","2016","Goods vehicles","Number","338431"
"Vehicle Population","2016","Motor cycles","Number","37461"
"Vehicle Population","2016","Tractors & Machinery","Number","89237"
"Vehicle Population","2016","Small PSVs","Number","21935"
"Vehicle Population","2016","Large PSVs","Number","9539"
"Vehicle Population","2016","Exempt vehicles","Number","27742"
"Vehicle Population","2016","Other vehicles","Number","68479"
"Vehicle Population","2017","Private cars","Number","2079345"
"Vehicle Population","2017","Goods vehicles","Number","347447"
"Vehicle Population","2017","Motor cycles","Number","39046"
"Vehicle Population","2017","Tractors & Machinery","Number","88378"
"Vehicle Population","2017","Small PSVs","Number","21544"
"Vehicle Population","2017","Large PSVs","Number","10090"
"Vehicle Population","2017","Exempt vehicles","Number","28702"
"Vehicle Population","2017","Other vehicles","Number","70178"
"Vehicle Population","2018","Private cars","Number","2117463"
"Vehicle Population","2018","Goods vehicles","Number","354458"
"Vehicle Population","2018","Motor cycles","Number","39851"
"Vehicle Population","2018","Tractors & Machinery","Number","85820"
"Vehicle Population","2018","Small PSVs","Number","21319"
"Vehicle Population","2018","Large PSVs","Number","10695"
"Vehicle Population","2018","Exempt vehicles","Number","29040"
"Vehicle Population","2018","Other vehicles","Number","70355"
"Vehicle Population","2019","Private cars","Number","2168099"
"Vehicle Population","2019","Goods vehicles","Number","362699"
"Vehicle Population","2019","Motor cycles","Number","41471"
"Vehicle Population","2019","Tractors & Machinery","Number","84170"
"Vehicle Population","2019","Small PSVs","Number","21457"
"Vehicle Population","2019","Large PSVs","Number","11206"
"Vehicle Population","2019","Exempt vehicles","Number","29619"
"Vehicle Population","2019","Other vehicles","Number","72057"
"Vehicle Population","2020","Private cars","Number","2211416"
"Vehicle Population","2020","Goods vehicles","Number","372145"
"Vehicle Population","2020","Motor cycles","Number","43491"
"Vehicle Population","2020","Tractors & Machinery","Number","85504"
"Vehicle Population","2020","Small PSVs","Number","19989"
"Vehicle Population","2020","Large PSVs","Number","10833"
"Vehicle Population","2020","Exempt vehicles","Number","29820"
"Vehicle Population","2020","Other vehicles","Number","74824"
"Vehicle Population","2021","Private cars","Number","2248916"
"Vehicle Population","2021","Goods vehicles","Number","382144"
"Vehicle Population","2021","Motor cycles","Number","45853"
"Vehicle Population","2021","Tractors & Machinery","Number","86469"
"Vehicle Population","2021","Small PSVs","Number","18108"
"Vehicle Population","2021","Large PSVs","Number","10639"
"Vehicle Population","2021","Exempt vehicles","Number","29933"
"Vehicle Population","2021","Other vehicles","Number","79342"
"Vehicle Population","2022","Private cars","Number","2266198"
"Vehicle Population","2022","Goods vehicles","Number","387723"
"Vehicle Population","2022","Motor cycles","Number","47056"
"Vehicle Population","2022","Tractors & Machinery","Number","83780"
"Vehicle Population","2022","Small PSVs","Number","17819"
"Vehicle Population","2022","Large PSVs","Number","11380"
"Vehicle Population","2022","Exempt vehicles","Number","30356"
"Vehicle Population","2022","Other vehicles","Number","83238"
